Latitude,Longitude,Prices,Restuarant Name
37.8710250854492,-122.267349243164,1,Arinell Pizza
37.87192,-122.2724,2,Plearn Thai
37.86672,-122.25906,1,Chinese Express
37.87118,-122.27189,2,Zabu Zabu
37.86821,-122.25803,1,Boba Ninja
37.86448,-122.25822,1,Pho K & K
37.86157,-122.25928,2,Bacheesos
37.8712726216567,-122.268183837379,1,PIQ Bakery
37.8679699,-122.2648928,1,Cafe Blue Door
37.86804,-122.25849,1,D'Yar
37.87103,-122.26735,1,Sandwich Zone
37.8713847855959,-122.267549571676,1,Saigon Express
37.87236,-122.26873,2,Turkish Kitchen
37.8721905,-122.2669629,2,The Tandoori Nite
37.8706461097353,-122.268250845373,1,Seasons of Japan
37.87127,-122.27267,1,Chaat Cafe
37.868213,-122.258033,1,Durant Square - Asian Ghetto
37.86873,-122.26747,2,BurgerMeister
37.86873,-122.25921,2,Dim Sum Truck
37.8702422,-122.2660694,2,The Sunny Side Café
37.86531,-122.25877,1,Han's Bistro
37.86723,-122.26727,2,Namaste Madras Cuisine
37.8706855,-122.2680736,1,Little Hunan
37.86873,-122.26747,1,E-Z Stop Deli
37.8679286509477,-122.257434673931,1,La Burrita
37.86718,-122.2583,2,Berkeley Thai House
37.8674684464931,-122.258890941739,1,Pappy's Grill & Sports Bar
37.8726844787598,-122.266632080078,2,Pedro's Brazil Cafe
37.8716163635254,-122.270492553711,1,Au Coquelet Cafe Restaurant
37.86763,-122.25812,1,D-HUB
37.87144,-122.26742,1,Momo Island
37.8705271,-122.2663488,1,Top Dog
37.8688237,-122.2594536,100,Star Ginger
37.87225,-122.27013,1,Red Tomato Pizza House
37.8688237,-122.2594536,100,Mixiote
37.867282,-122.258781,1,Tako Sushi
37.86823,-122.26069,2,The Musical Offering Cafe
37.86376,-122.26779,1,Frausto's Restaurant
37.8672,-122.25858,1,Fat Slice Pizza
37.8685119271457,-122.259340240783,100,Nichi Ramen
37.86863,-122.25785,1,Indian Flavors Express
37.86391,-122.25894,2,Fondue Fred
37.8680499,-122.25931,1,ABE's Pizza
37.86885,-122.26749,100,Chipotle Mexican Grill
