Latitude,Longitude,Prices,Rating,Restaurant Name,Review Count,Student Location?
37.87142,-122.27138,1,4.5,A Dora Pie,26,True
37.871143,-122.2727818,2,4.0,Sushi California,228,True
37.8708687,-122.2685699,1,3.5,Sushi Secrets,310,True
37.8716163635254,-122.270492553711,1,3.5,Au Coquelet Cafe Restaurant,631,True
37.8697795,-122.2660328,2,3.5,Saturn Cafe Berkeley,1095,True
37.86821,-122.25803,1,3.5,Thai Basil Cuisine,856,True
37.86821,-122.25803,1,4.0,Boba Ninja,79,True
37.86391,-122.25894,2,3.5,Koryo Restaurant,216,True
37.86513,-122.2671,1,3.5,King Dong Chinese,412,True
37.8678736756068,-122.258263640106,2,3.5,Tap Haus,79,True
37.8718330711126,-122.270199134946,2,4.0,Cafe Tibet,300,True
37.8693466186523,-122.266784667969,2,3.5,Cancun Sabor Mexicano,867,True
37.8717675504509,-122.272785276959,1,4.0,Udupi Palace,617,True
37.87329,-122.26881,1,4.0,Sol y Luna Taqueria,205,True
37.87192,-122.2724,2,3.5,Plearn Thai,202,True
37.8704765439034,-122.266423255205,100,5.0,La Cascada,2,True
37.8712726216567,-122.268183837379,1,4.0,PIQ Bakery,533,True
37.86934,-122.26678,100,4.5,Sabor Mexicano Foods,7,True
37.870612,-122.267907,1,4.0,Gadani,201,True
37.8679746,-122.2568488,1,3.5,Artichoke Basille's Pizza,446,True
37.867759,-122.258281,1,3.5,Seniore's Pizza,190,True
37.86531,-122.25877,1,3.0,Han's Bistro,62,True
37.86157,-122.25928,2,3.5,Bacheesos,245,True
37.86823,-122.26069,2,4.0,The Musical Offering Cafe,196,True
37.86723,-122.26727,2,3.5,Namaste Madras Cuisine,196,True
37.8651399,-122.2671,2,3.5,Anzu Restaurant,228,True
37.8713847855959,-122.267549571676,1,3.5,Saigon Express,358,True
37.86606,-122.26711,2,3.5,Nanayiro,342,True
37.8643937,-122.2586932,1,3.5,Racha Cafe,443,True
37.8718358451128,-122.269059664856,2,4.0,Bobby G's Pizzeria,559,True
37.8726234436035,-122.268783569336,2,3.5,Spats,219,True
